AID	CLUSTER2	GSWGT1
90718115	2.55	3956.29
90718147	2.59	5284.13
90718178	2.6	7040.23
90718183	2.53	957.2
90718207	2.56	2738.74
90718222	2.51	6131.38
90718225	2.51	6131.38
90718268	2.54	2923.29
90718273	2.6	6042.85
90718280	2.53	891.25
90718285	2.53	891.25
90718287	2.53	4266.07
90718303	2.56	1067.49
90718305	2.56	1197.53
90718306	2.56	1006.35
90718311	2.55	808.07
90718394	2.58	3379.4
90718398	2.58	5667.14
90718822	2.51	6131.38
90718921	2.51	7568.73
90718940	2.59	5717.87
90718979	2.6	5618.76
90718981	2.53	4473.31
90718989	2.53	4473.31
90719275	2.1	10748.06
90719278	2.1	8119.32
90719930	2.07	1526.04
90719934	2.07	1214.38
90719937	2.07	1713.82
90719938	2.07	1711.39
90719939	2.07	1526.04
90719972	2.1	5603.13
91316152	4.72	3663.66
91316359	4.72	3734.7
91374970	4.7	2495.91
91374975	4.7	2569.95
91374976	4.7	2495.91
91374977	4.7	2440.37
91500014	1.45	3939.94
91500119	1.45	4606.14
91500185	1.43	662.04
91500186	1.43	1008.71
91500226	1.41	1743.07
91500238	1.47	4330.4
91500239	1.47	4958.94
91500312	1.45	4024.26
91500373	1.5	5964.89
91500411	1.45	460.29
91500833	1.47	3649.67
91500870	1.5	3698.1
91500977	1.5	5380.25
91500984	1.43	879.48
91501350	1.32	7001.44
91503239	1.87	479.01
91504088	1.63	5598.51
91504104	1.66	5547.62
91504224	1.61	4784.32
91504248	1.69	3291.58
91504291	1.68	4309.63
91504341	1.69	3243.3
91504485	1.63	5032.73
91504487	1.63	5360.35
91504629	1.61	8057.54
91504646	1.69	3409.77
91504686	1.63	5901.99
91504702	1.66	516.11
91504703	1.66	769.65
91504729	1.61	5264.06
91504929	1.61	5770.63
91506059	1.72	3450.7
91506122	1.71	3037.89
91506123	1.71	3706.65
91506146	1.79	1691.16
91506147	1.79	1641.09
91506235	1.77	2985.49
91506304	1.76	2467.41
91506305	1.76	2914.11
91506330	1.77	2985.49
91506392	1.78	3588.13
91506396	1.78	3998.38
91506443	1.79	1775.13
91506487	1.73	3016.92
91506590	1.78	4026.61
91506680	1.73	3558.34
91506727	1.71	2177.18
91506773	1.8	2774.25
91506790	1.78	442.51
91506894	1.78	4496.01
91506902	1.76	2562.93
91506935	1.77	3277.51
91506944	1.79	1562.55
91506946	1.79	1695.3
91506955	1.72	3479.97
91506993	1.78	417.32
91507010	1.95	7354.08
91507116	1.95	5078.51
91507316	1.95	4746.04
91507851	1.92	3018.85
91507919	1.95	4665.58
91508025	1.51	5422.39
91508026	1.51	4556.04
91508122	1.51	652.56
91508123	1.51	3476.69
91508169	1.54	3977.42
91508381	1.53	3749.33
91508387	1.53	3453.91
91508439	1.57	2725.66
91508522	1.51	832.9
91508526	1.51	5497.06
91508665	1.54	5213.59
91508766	1.54	2936.94
91508836	1.57	2725.66
91508862	1.54	2936.94
91508873	1.6	13188.52
91508944	1.59	4312.88
91508948	1.59	5987.6
91540058	1.42	3722.91
91540130	1.47	3497.12
91540215	1.45	5696.64
91540453	1.42	3589.15
91540457	1.42	3576.54
91540913	1.45	3846.46
91543707	1.86	3191.47
91544201	1.66	711.08
91544202	1.66	769.65
91544204	1.66	497.86
91544302	1.66	880.8
91546074	1.8	4097.83
91546175	1.8	3349.49
91546574	1.8	4097.83
91546924	1.71	3227.22
91570095	1.48	3710.46
91570110	1.45	3354.01
91570129	1.41	2821.17
91570181	1.43	752.39
